BOTTLE,20080908JAMSTECIORGC
#Software_Version: whp_btl_exchange.rb_v1.61 (ogc_group)
#ORIGINAL_SUM_FILE: sum_leg2_050408.csv Fri Apr 08 13:18:32 +0900 2005
#ORIGINAL_HYD_FILE: sea_leg2_080603.csv Tue Jun 03 13:18:58 +0900 2008
#DEPTH_TYPE: COR
#EVENT_CODE: BO
EXPOCODE,SECT,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,DWNPRS,DWNPRS_FLAG_W,DWNOXY,DWNOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,TOC,TOC_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,M,DBAR,,ITS-90,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,DBAR,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG_C,,/MILLE,,/MILLE,/MILLE,,/MILLE,UMOL/KG,,KBQ/CUM,,KBQ/CUM,BQ/CUM,,BQ/CUM,MBQ/CUM,,MBQ/CUM,DEG C,KG/CUM
49NZ20030909,   P06,127,4,0,-999,9,20030912,1358,-32.511,-149.8195,5025,-999,9,-999,9,-999,9,-999,9,35.4098,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,1.48,2,0.07,-999,1,-999,-999,-999
49NZ20030909,   P06,127,4,36,12048,2,20030912,1358,-32.511,-149.8195,5025,9.8,2,16.9261,2,16.92548,2,35.3957,2,35.3956,2,232.17,2,11.5,2,237.92,2,237.92,2,0.41,2,0.12,-0.02,2,0.03,-0.01,2,0.01,0.14,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,16.9245,25.836
49NZ20030909,   P06,127,4,35,12047,2,20030912,1358,-32.511,-149.8195,5025,50.3,2,16.9321,2,16.93164,2,35.3945,2,35.3947,2,232.05,2,52,2,237.77,2,237.98,2,0.43,2,0.12,-0.04,2,0.03,-0.01,2,0.01,0.14,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,16.9238,25.8353
49NZ20030909,   P06,127,4,34,12046,2,20030912,1358,-32.511,-149.8195,5025,100.3,2,16.8916,2,16.88948,2,35.3896,2,35.3896,2,231.89,2,100.1,2,238.2,2,237.85,2,0.41,2,0.12,-0.04,2,0.03,0,2,0.01,0.15,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,1.16,2,0.11,-999,1,-999,16.8751,25.843
49NZ20030909,   P06,127,4,33,12045,2,20030912,1358,-32.511,-149.8195,5025,148.4,2,16.7544,2,16.75787,2,35.3851,2,35.3871,2,229.33,2,149.9,2,237,2,236.04,2,0.48,2,0.12,0.05,2,0.03,0.01,2,0.01,0.15,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,16.7301,25.8739
49NZ20030909,   P06,127,4,32,12044,2,20030912,1358,-32.511,-149.8195,5025,202.5,2,15.0308,2,15.03035,2,35.2025,2,35.202,2,213.89,2,208.5,2,221.87,2,218.95,2,0.88,2,0.12,3.08,2,0.04,0.01,2,0.01,0.39,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,1.01,2,0.09,-999,1,-999,15,26.1281
49NZ20030909,   P06,127,4,31,12043,2,20030912,1358,-32.511,-149.8195,5025,249.6,2,14.0932,2,14.09439,2,35.0819,2,35.0806,2,209.54,2,251.6,2,213.58,2,214.63,2,1.12,2,0.12,5.28,2,0.05,0.01,2,0.01,0.53,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,14.0569,26.2385
49NZ20030909,   P06,127,4,30,12042,2,20030912,1358,-32.511,-149.8195,5025,300.4,2,13.0977,2,13.09843,2,35.0033,2,35.0033,2,201.99,2,295.3,2,206.44,2,206.66,2,1.82,2,0.12,8.6,2,0.06,0,2,0.01,0.72,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,13.056,26.3842
49NZ20030909,   P06,127,4,29,12041,2,20030912,1358,-32.511,-149.8195,5025,399.6,2,9.6951,2,9.69507,2,34.6104,2,34.6098,2,211.91,2,393.4,2,219.36,2,216.26,2,3.36,2,0.13,15.69,2,0.08,0,2,0.01,1.17,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,1,-999,0.39,2,0.14,-999,1,-999,9.6494,26.7069
